"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Română a Serviciilor de,,,,,,
51,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,1589932,Cîtu-Radu Cristian,Director/directorat,63900+63900,,"62,560"
"",,Trafic Aerian - ROMATSA,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Mateescu Ioan,Director/directorat,"1 9,859",-,
"",,TIMIS,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Călin Mircea Florin,Membru CA/CS,"4,924",-,
"",,TIMIS,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Costina Andrei Ioan,Membru CA/CS,"4,924",-,
"",,TIMIS,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Tîrpe Manasia Roxana Andreea,Membru CA/CS,"4,924",-,
"",,TIMIS,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Costescu Irina Daniela,Director/directorat,"1 2,569",-,
"",,TIMIS,,,,,,
"",,Regia Autonomă Administrația Canalului Navigabil BEGA,,,,,,
52,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,,39669478,Buduran Maria Andra,Director/directorat,"1 2,569",-,
"",,TIMIS,,,,,,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Costel Dorin Ștefan,Membru CA/CS,"2 9,538",-,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Chiriac Petronel,Membru CA/CS,"2 9,538",-,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Mîndrescu Bogdan Stelian,Membru CA/CS,"2 9,538",-,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Moraru Ioan Dragoș,Membru CA/CS,"2 9,538",-,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Costa Cosmin-Lascuț,Membru CA/CS,"2 9,538",-,
53,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Alecu Mihai,Director/directorat,"6 2,076",,"62,076"
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă REGISTRUL AUTO ROMÂN,1590236,Alina Mihaela Niță,Director/directorat,"6 2,076","62,076"
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Ivan Angela Stela,Membru CA/CS,"1 1,000",-
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Dumitru Dorian,Membru CA/CS,"1 1,000",-
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Voicu Ion Laurențiu,Membru CA/CS,"1 1,000",-
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Marin Romeo,Membru CA/CS,"1 1,000",-
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Ivan Angela Stela,Director/directorat,"3 6,000",-
54,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Regia Autonomă Administrația Fluvială a Dunării de JosGalați",1644670,Tănase Felicia,Director/directorat,"3 4,200",-
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Stoica Nicolae Octavian,Director/directorat,55428/110856,"110,856"
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Stoica Nicolae Octavian,Membru CA/CS,-,-
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Neacsu Mihai,Membru CA/CS,"5 2,890",
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Mîndrescu Stelian-Bogdan,Membru CA/CS,"5 2,890",
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Taropa Lucian-Dorel,Membru CA/CS,"5 2,890",
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Ilea Bogdan George,Membru CA/CS,"5 2,890",
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Anghel Alexandru,Membru CA/CS,"5 2,890",
55,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Regia Autonomă Autoritatea Aeronautică Civilă Română,5205651,Eduard Mike,Membru CA/CS,"5 9,553",
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Mocanu Mihaela,Membru CA/CS,"24,393","73,179"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Chiper Marian-Marius,Membru CA/CS,"24,393","73,179"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Damian Ion,Membru CA/CS,"24,393","73,179"
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Mitan Dorin,Membru CA/CS,"24,393","73,179"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Țenea Diana-Doina,Membru CA/CS,"24,393","73,179"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Stoica Marcel-Alexandru,Membru CA/CS,"24,393",
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Zamfir Marian,Membru CA/CS,"24,393","73,179"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Simu - Alexandru Ion,Director/directorat,"50,322","1 50,966"
56,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Națională de Căi Ferate ""C.F.R.""",11054529,Mantescu Iulian Florin,Director/directorat,"33,548","1 00,644"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Preoteasa Traian,Membru CA/CS,"5,345","16,035"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Szentes Iosif,Membru CA/CS,"5,345","16,035"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Voicu Vasile Dorin,Membru CA/CS,"5,345",-
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Petre Mariana,Membru CA/CS,"5,345","16,035"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Popa Gabriel,Membru CA/CS,"5,345","16,035"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Miclaus Mariana,Director/directorat,"30,000","90,000"
57,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Societatea Comercială de Transport cu Metroul Bucureşti""Metrorex""",13863739,Diaconu Ioana,Director/directorat,"28,000","84,000"
58,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Radu Claudia Carmen,Membru CA/CS,"5,015",-
58,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Timiș Iuliana Adriana,Membru CA/CS,"5,015",-
58,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Pop Ioan,Membru CA/CS,"5,015",-
58,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Lazar Ion Paul,Membru CA/CS,"5,015",-
58,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Ungureanu Mihai,Membru CA/CS,"5,015",-
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Tipografică „Filaret”,14547106,Dumitru Ionelia,Director/directorat,"1 8,846",-
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Rădulescu Ștefan Răzvan,Director/directorat,"4 6,271",-
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Goșea Adrian Marius,Director/directorat,"3 4,703",-
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Rădulescu Ștefan Răzvan,Membru CA/CS,"1 7,094",
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Petre Ungureanu,Membru CA/CS,"1 7,094",
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Dascălu Ana- Maria,Membru CA/CS,"1 7,094",
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Nancu Dumitru,Membru CA/CS,"1 7,094",
59,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Electrificare CFR”,16828396,Hunyadi Monica,Membru CA/CS,"1 7,094",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Pipa George Radu,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Măntescu Iulian Florin,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Ceşa Petru,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Raluca Sandu Mihaela,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Scrioşteanu Ionel,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Micu Cristian Alexandru,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Ilie Laurenţiu Andrei,Membru CA/CS,"2 2,222",
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Radu Alexandru,Director/directorat,"51,744","1 08,078"
60,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea „Informatica Feroviara”,14966210,Pătru Adrian,Director/directorat,"34,496","1 08,078"
61,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Găvrută Adrian Daniel,Membru CA/CS,"1 4,636",-
"",MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Staicu Mihail George,Membru CA/CS,"1 4,636",-
61,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Radu Alexandru,Membru CA/CS,"1 4,636",-
61,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Nuncă Otilia Florentina,Membru CA/CS,"1 4,636",-
61,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Budescu Gabriel,Membru CA/CS,"1 4,636",-
61,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea Carpatica Feroviar România,50826310,Apostolache Daniel,Director/directorat,"4 5,846",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Teodorescu Mihai,Membru CA/CS,"1 0,636",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Catană Dan Alexandru,Membru CA/CS,"1 0,636",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Vlad Elena,Membru CA/CS,"1 0,636",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Diaconu Cătălin,Membru CA/CS,"1 0,636",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Nancu Dumitru,Director/directorat,"4 2,988",-
62,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"Compania Nationala Administratia Porturilor MaritimeConstanta",11062831,Mihai Teodorescu,Director/directorat,"6 1,688",-
63,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,"SOCIETATEA DE ADMINISTRARE ACTIVE FEROVIARE""S.A.A.F."" SA",11059950,Insolventa/Diverse,Insolventa/Diverse,Insolventa/Diverse,insolventa
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Nitulescu Casian,Membru CA/CS,"1 7,926",-
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Cazan Laurentiu Nicolae,Membru CA/CS,"1 7,926",-
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Petrica Nicolescu,Membru CA/CS,"1 7,926",-
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Ionut Purica,Membru CA/CS,"1 7,926",-
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Chirlesan Dumitru,Membru CA/CS,"1 7,926","215,112"
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Grajdan Vasilica,Membru CA/CS,"1 7,926","215,112"
"",MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Burlacu Oleg,Membru CA/CS,"1 7,926",-
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Ghiță Cosmin,Director/directorat,"5 3,778","1,613,340"
64,MINISTERUL ENERGIEI,NUCLEARELECTRICA,10874881,Adam Daniel,Director/directorat,"5 1,000","1,468,800"
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Negru Antonie Marius,Membru CA/CS,"5,000",-
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Grigorean Vlad,Membru CA/CS,"5,000",-
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Simion Paul Eduard,Membru CA/CS,"5,000",-
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Vacant,,,
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Vacant,,,
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Havris Constantin Alexandru,Director/directorat,"6 8,388",-
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Marciulescu Alexandru,Director/directorat,"6 4,200",-
65,MINISTERUL ENERGIEI,ENERGONUCLEAR,25344972,Dascalu Vasile,Director/directorat,"5 8,800",-
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Bacaintan Cristina,Membru CA/CS,"9,000",-
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Vlasceanu Silvia,Membru CA/CS,"9,000",-
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Dobre Raluca,Membru CA/CS,"9,000",-
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Foghis Adrian George,Membru CA/CS,"9,000",-
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Vacant,,,
66,MINISTERUL ENERGIEI,"Fabrica de Prelucrare a Concentratelor de UraniuFeldioara",44958790,Maracineanu Gelu Agafiel,Director/directorat,"5 5,398",-
67,MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Dobrica Anca Ioana,Membru CA/CS,"1 3,722",-
"",MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Dolha Mircea,Membru CA/CS,"1 3,722",-
67,MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Roibu Dragos Stefan,Membru CA/CS,-,-
67,MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Vacant,,,
67,MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Vacant,,,
67,MINISTERUL ENERGIEI,Nuclearelectrica Serv,45374854,Roibu Dragos Stefan,Director/directorat,"4 1,166",-
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Chisalita Dumitru,Membru CA/CS,"2 7,378",-
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Jude Aristotel Marius,Membru CA/CS,-,-
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Nuț Marius Gabriel,Membru CA/CS,"2 7,378","328,536"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Braslă Răzvan,Membru CA/CS,"2 7,378","328,536"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Botond Balasz,Membru CA/CS,"2 7,378","328,536"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Vacant,,,
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Stoian Elena Lorena,Membru CA/CS,"2 7,378","328,536"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Popescu Răzvan,Director/directorat,"8 5,644","2,055,456"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Jude Aristotel Marius,Director/directorat,"8 5,644","2,055,456"
68,MINISTERUL ENERGIEI,S.N.G.N. ROMGAZ,14056826,Trâmbițaș Gabriela,Director/directorat,"7 1,370","856,440"
69,MINISTERUL ENERGIEI,DEPOGAZ,34915261,"Stănescu Nicolae BogdanCodruț",Membru CA/CS,"2 2,378","268,535"
69,MINISTERUL ENERGIEI,DEPOGAZ,34915261,Țărîndă Ileana,Membru CA/CS,"2 2,378","268,535"
69,MINISTERUL ENERGIEI,DEPOGAZ,34915261,Lazăr George,Membru CA/CS,"2 2,378","268,535"
"",MINISTERUL ENERGIEI,DEPOGAZ,34915261,Vasile Anna-Maria,Membru CA/CS,"2 2,378","268,535"
69,MINISTERUL ENERGIEI,DEPOGAZ,34915261,Ciornea Anca-Isabela,Membru CA/CS,"2 2,378","268,535"
69,MINISTERUL ENERGIEI,DEPOGAZ,34915261,Moise Sanda Madalina,Director/directorat,"8 5,294",-
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Avram Silviu Răzvan,Membru CA/CS,"1 9,902","238,322"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Bobirca Ana,Membru CA/CS,"2 2,820","257,543"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Persinaru Marius,Membru CA/CS,"1 9,902",-
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Ene Ciprian Mihail,Membru CA/CS,"1 9,902",-
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Radu Carmen,Membru CA/CS,"1 9,902","238,322"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Anca Mitu,Membru CA/CS,"1 9,902",-
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Toniuc George Marius,Membru CA/CS,"1 9,902","238,322"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Borbely Karoly,Director/directorat,"6 5,748","1,571,009"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Badea Bogdan Nicolae,Director/directorat,"6 5,748","1,571,009"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Constantin Radu Ioan,Director/directorat,"6 5,748","1,571,009"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Fetita Marian,Director/directorat,"65,748","1,571,009"
70,MINISTERUL ENERGIEI,S.P.E.E.H. HIDROELECTRICA,13267213,Radoi Ianas,Director/directorat,"6 5,748","1,571,009"
71,MINISTERUL ENERGIEI,UZINA DE CONSTRUCTII MASINI HIDROENERGETICE,49594720,Aurel Băra,Membru CA/CS,"1 9,262",-
71,MINISTERUL ENERGIEI,UZINA DE CONSTRUCTII MASINI HIDROENERGETICE,49594720,Duma Alexandra,Membru CA/CS,"1 9,262",-
71,MINISTERUL ENERGIEI,UZINA DE CONSTRUCTII MASINI HIDROENERGETICE,49594720,Pocora Mihai Silviu,Membru CA/CS,"1 9,262",-
"",MINISTERUL ENERGIEI,UZINA DE CONSTRUCTII MASINI HIDROENERGETICE,49594720,Fara Dan Cornel,Director/directorat,"3 8,461",-
72,MINISTERUL ENERGIEI,HIDROSERV,32097794,Novac Dragos Marian,Membru CA/CS,"1 7,502",-
72,MINISTERUL ENERGIEI,HIDROSERV,32097794,Levendi Dinca,Membru CA/CS,"1 7,502",-
72,MINISTERUL ENERGIEI,HIDROSERV,32097794,Pena Mihai-Dorin,Membru CA/CS,"1 7,502",-
72,MINISTERUL ENERGIEI,HIDROSERV,32097794,Grecu Marius Cristian,Director/directorat,"5 3,852",-
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Lungu Ion,Membru CA/CS,"1 6,533",-
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Vladescu Luminita,Membru CA/CS,"1 6,533",-
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Ungur Ramona,Membru CA/CS,"1 6,533","198,396"
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Teseleanu George,Membru CA/CS,"1 6,533","198,396"
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Misa George-Silvian,Membru CA/CS,"1 6,533","198,396"
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,"Stan Olteanu ManuelaPetronela",Membru CA/CS,"1 6,533",-
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Bodu Sebastian-Valentin,Membru CA/CS,"1 6,533","198,396"
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Ciutureanu Viorel Sorin,Director/directorat,"5 1,000","612,000"
73,MINISTERUL ENERGIEI,OIL TERMINAL,2410163,Frangu Adriana,Director/directorat,"50,000","600,000"
74,MINISTERUL ENERGIEI,CONPET,1350020,Kohalni Szabo Luminita Doina,Membru CA/CS,"2 1,398","256,776"
74,MINISTERUL ENERGIEI,CONPET,1350020,Buică Nicușor Marian,Membru CA/CS,"2 1,398","256,776"
74,MINISTERUL ENERGIEI,CONPET,1350020,Vaduva Silviu,Membru CA/CS,"2 1,398",-
74,MINISTERUL ENERGIEI,CONPET,1350020,Tănăsică Oana- Cristina,Membru CA/CS,"2 1,398","256,776"
"",MINISTERUL ENERGIEI,CONPET,1350020,Gavrilă Florin-Daniel,Membru CA/CS,"2 1,398","256,776"
74,MINISTERUL ENERGIEI,CONPET,1350020,Zaman Andrei-Mihai,Membru CA/CS,"2 1,398","256,776"
74,MINISTERUL ENERGIEI,CONPET,1350020,Danila Alin Mihael,Membru CA/CS,"2 1,398","256,776"
74,MINISTERUL ENERGIEI,CONPET,1350020,Tudora Dorin,Director/directorat,"6 6,636","799,632"
74,MINISTERUL ENERGIEI,CONPET,1350020,Dumitrache Mihaela Anamaria,Director/directorat,"5 5,530","666,360"
74,MINISTERUL ENERGIEI,CONPET,1350020,Necșulescu Radu – Florentin,Director/directorat,"5 5,530","666,360"
74,MINISTERUL ENERGIEI,CONPET,1350020,Toader Sanda,Director/directorat,"5 5,530","666,360"
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Nancu Dumitru,Membru CA/CS,"2 3,359",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Vădan Laura Eugenia,Membru CA/CS,"2 3,359",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Neagu Alina Cristina,Membru CA/CS,"2 3,359",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Bodu Sebastian,Membru CA/CS,"2 3,359",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Deaconu Alexandru Stefan,Membru CA/CS,"2 3,359",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Foghiș Adrian,Director/directorat,"4 5,356",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Andrei Jean Vasile,Director/directorat,"4 5,356",-
75,MINISTERUL ENERGIEI,"SOCIETATEA DE ADMINISTRARE A PARTICIPAȚIILOR ÎNENERGIE (S.A.P.E. S.A.)",33134190,Chiriță Sorin,Director/directorat,"4 5,356","272,136"
